raw,processed,label,score
,pemerintah terus melakukan upaya dalam menekan penyebaran covid di indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke indonesia cipta keamanan dan ketertiban masyarakat kondusif,neutral,0.9100237488746643
,penanganan serta pengendalian covid yang sudah mulai berkurang karena peran aktif masyarakat dan pemerintah cipta keamanan dan ketertiban masyarakat kondusif,positive,0.991094172000885
,jiwa nasionalisme tentunya harus dimiliki setiap warga negara indonesia lomba mural yang diadakan polri harapannya bisa meningkatkan lagi semangat nasionalisme untuk memajukan nkri cipta keamanan dan ketertiban masyarakat kondusif,positive,0.9994990825653076
,gaduh menag era jokowi langgam jawa cadar amp hadiah nu ada meninggal,neutral,0.99293452501297
,isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya,neutral,0.5390890836715698
,at container ship has reached new high of on the clarksons containership pocongestion index versus pre average of with no signs of easing just yet,neutral,0.9932510256767273
,where does mutahi kagwe get the energy tryout campaign dan give ujian sekolah math boleh ons at the same time thought the president does belum like cs who engage ini politics,neutral,0.997670590877533
,mengingat prestasi yang terbukti sudah mendunia yang bahkan negara maju saja pada babak belur maka bagaimana jika jokowi amp his dream team pasca tetap digunakan saja bagaimana formatnya demi saja,negative,0.6526682376861572
,kes harian baharu dilaporkan maklumat terperinci akan dimuatnaik ke laman covidnow begitu,neutral,0.9936589598655701
,yang perlu di waspadai itu utang negara,negative,0.9998674392700195
,informasi,positive,0.9712309241294861
,et on oblige les ves porter boleh masque en cours je ini vois pas deh diff rences,positive,0.7102970480918884
,kita harus mengantisipasi dengan protokol kesehatan dan vaksinasi kendati kasus covid di indonesia terus melandai kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona,neutral,0.5872918367385864
,vaksinasi memperkuat imun untuk lawan covid,neutral,0.9768990874290466
,gelar pasukan antisipasi bencana pandemi covid di mapolresta,neutral,0.9982402324676514
,,positive,0.9911566972732544
,according tryout the presidential pre secretary the president will provide an update tryout the nation on the covid situation amp any other related saya ues on thursday oct tahun the addre will be broadcast live at pm,neutral,0.9962005019187927
,update kasus covid di kabupaten bangkalan oktober jangan panik dan tetap ikuti himbauan dari pemerintah source,neutral,0.9972098469734192
,tetapi inilah bentuk tanggungjawab negara dalam rangka melindungi rakyat dari potensi klaster covid ketika naik pesawat,negative,0.9290925860404968
,pokoknya negara yang dibanggakan sama kawal panu,positive,0.9873199462890625
,kegiatan patroli ops yustisi menindak lanjuti perbup karimun tahun polsek moro dalam rangka mencegah penyebaran covid adaptasi kebiasaan baru di wilkum polsek moro menuju adaptasi kebiasaan baru,neutral,0.9968113303184509
,update data covid senin oktober,neutral,0.9966775178909302
,mario abdo insta vacunarse el presidente deh lah rep blica recibi lah lah dosis deh contra lah lah gente que no se haya vacunado todav con ra dosis hai vacunas suficientes disponibles,positive,0.9666191339492798
,em live presidente jair bolsonaro cita relat rio di reino unido diz que imunizados contra covid desenvolvem aids antes di previsto,neutral,0.9949586987495422
