raw,processed,label,score
"Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia.
#SosialisasiEdukasiProkes
Cipta Kamtibmas Kondusif",pemerintah terus melakukan upaya dalam menekan penyebaran covid di indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke indonesia cipta keamanan dan ketertiban masyarakat kondusif,neutral,0.9100237488746643
"Gaduh Menag Era Jokowi: Langgam Jawa, Cadar, &amp; Hadiah NU Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMorning",gaduh menag era jokowi langgam jawa cadar amp hadiah nu ada meninggal,neutral,0.99293452501297
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif,dan dapat menunjukkan bukti konfirmasi pemesanan dan pembayaran booking tempat akomodasi selama menetap di indonesia untuk informasi terkait covid kunjungi situs resmi penanganan covid dan pemulihan ekonomi nasional dan,neutral,0.9980958104133606
"dan dapat menunjukkan bukti konfirmasi pemesanan dan pembayaran (booking) tempat akomodasi selama menetap di Indonesia.
Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional dan",bapak ingatkan skenario terburuk usai pandemi covid ada meninggal,neutral,0.9963021278381348
"BPK Ingatkan Skenario Terburuk Usai Pandemi COVID-19 Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMotivation",las cifras tambi muestran que el boom del ecommerce se dispar en julio deh cuando en tiempos deh aislamiento,positive,0.594535768032074
"“Las cifras también muestran que el boom del ecommerce se disparó en julio de 2020 cuando, en tiempos de aislamiento…” #ecommerce #Economia #ULTIMAHORA #COVID19",jangan gegabah saya tidak yakin pemerintah dalam hal ini pihak berwenang covid tegah berbisnis demi atm di tengah kesulitan ekonomi rakyat jika benar maka tergolong skandal pcr covid harus diklarifikasi by pihak terkait kemenkes satgas covid nasional,negative,0.9995682835578918
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif.,pada jumat oktober kemarin dilaporkan sebanyak kasus covid baru di negara negara eropa seperti inggris dan rusia itu alasan menghimbau masyarakat tetap jaga disiplin prokes,neutral,0.6813016533851624
"Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia.
#SosialisasiEdukasiProkes
Cipta Kamtibmas Kondusif
3",acara webinar membangkitkan ekonomi dampak pembatasan aktivitas masyarakat dan geliat digital umkm dimulai jam wib acara ini akan membahas studi smeru terkait dampak ekonomi dari pembatasan aktivitas amp geliat digital umk selama pandemi,neutral,0.7269256711006165
"@msaid_didu Jgn gegabah. Saya tdk yakin pemerintah dlm hal ini pihak berwenang covid tegah berbisnis/demi atm di tengah kesulitan ekonomi rakyat. Jika benar, mk tergolong skandal pcr covid 19. Harus diklarifikasi by pihak terkait (kemenkes, satgas covid19 nasional).",en cuarentena tras dar positivo por coronavirus el sico mantiene todos sus compromisos promocionales televisivos desde su aislamiento mucho nimo edisi,neutral,0.9913197159767151
"@ABSetyono @PlateJohnny Pada Jumat, 22 Oktober kemarin, dilaporkan sebanyak 41.181 kasus Covid-19 baru di negara-negara Eropa, seperti Inggris dan Rusia.
Itu alasan @kemkominfo menghimbau masyarakat tetap jaga disiplin prokes",rasanya pada masa ini penyokong tidak berubah hati kepada yb ph tahu mantan ph hati masing cuma berdoa pandemik covid cepat tamat dan mahukan pru untuk hukum yb yang tipu dengan janji palsu pada pru serta merosakkan agama bangsa dan negara masa jadi kjaan,negative,0.9996250867843628
