raw,processed,label,score
"Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia.
#SosialisasiEdukasiProkes
Cipta Kamtibmas Kondusif",pemerintah terus melakukan upaya dalam menekan penyebaran covid di indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke indonesia cipta keamanan dan ketertiban masyarakat kondusif,neutral,0.9100237488746643
"Jiwa nasionalisme tentunya harus dimiliki setiap warga negara Indonesia, lomba mural yang diadakan Polri harapannya bisa meningkatkan lagi semangat nasionalisme untuk memajukan NKRI
#SosialisasiEdukasiProkes
Cipta Kamtibmas Kondusif",jiwa nasionalisme tentunya harus dimiliki setiap warga negara indonesia lomba mural yang diadakan polri harapannya bisa meningkatkan lagi semangat nasionalisme untuk memajukan nkri cipta keamanan dan ketertiban masyarakat kondusif,positive,0.9994990825653076
"Gaduh Menag Era Jokowi: Langgam Jawa, Cadar, &amp; Hadiah NU Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMorning",gaduh menag era jokowi langgam jawa cadar amp hadiah nu ada meninggal,neutral,0.99293452501297
"HOAX TENTANG VAKSIN COVID-19
HOAX
Vaksin Covid-19 mengandung microchip magnetis
FAKTA
Informasi tersebut tidak benar. Jubir vaksinasi Covid-19 Kemenkes, dr. Siti Nadia Tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya 0,5 #SosialisasiEdukasiProkes",isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya,neutral,0.5390890836715698
"Mengingat prestasi yg terbukti sdh mendunia (yg bhkn negara maju sj pada babak- belur), maka bgmn kalo Jokowi &amp; His Dream Team pasca 2024 ""tetap digunakan"" sj. #Entah bgmn formatnya.
#Hanya demi 🇲🇨 saja!
@PDI_Perjuangan @Gerindra @PartaiGolkar",mengingat prestasi yang terbukti sudah mendunia yang bahkan negara maju saja pada babak belur maka bagaimana jika jokowi amp his dream team pasca tetap digunakan saja bagaimana formatnya demi saja,negative,0.6526682376861572
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif,yang perlu di waspadai itu utang negara,negative,0.9998674392700195
"yg perlu di waspadai itu utang negara,,,",kita harus mengantisipasi dengan protokol kesehatan dan vaksinasi kendati kasus covid di indonesia terus melandai kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona,neutral,0.5872918367385864
"Kita harus mengantisipasi dengan protokol kesehatan dan vaksinasi, kendati kasus Covid-19 di Indonesia terus melandai, kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona.
@kemkominfo @PlateJohnny",tetapi inilah bentuk tanggungjawab negara dalam rangka melindungi rakyat dari potensi klaster covid ketika naik pesawat,negative,0.9290925860404968
"Tetapi inilah bentuk tanggungjawab negara dalam rangka melindungi rakyat dari potensi klaster Covid-19 ketika naik pesawat
#AyoVaksinPenerbangan @mahesatiwi @BiLLRaY2019 @Paltiwest @_LOVE_AG4EVER @Rizmaya__ @seruanhl @habibthink",pokoknya negara yang dibanggakan sama kawal panu,positive,0.9873199462890625
pokonya negara yg dibanggain sama kawal panu,update data covid senin oktober,neutral,0.9966775178909302
"Update Data Covid-19 𝗞𝗮𝗯𝘂𝗽𝗮𝘁𝗲𝗻 𝗞𝘂𝘁𝗮𝗶 𝗞𝗮𝗿𝘁𝗮𝗻𝗲𝗴𝗮𝗿𝗮, Senin, 25 Oktober 2021 #kutaikartanegara #kukar #tenggarong #infokukar",wiwid dan dwi dipecat dengan alasan perusahaan rug dan pandemi covid telah berdampak signifikan terhadap kondisi keuangan mereka tidak diam protes dilakukan berserikat dan terus memperjuangkan hak haknya,positive,0.7069432735443115
"Wiwid dan Dwi dipecat dengan alasan perusahaan rug, dan pandemi Covid-19 telah berdampak signifikan terhadap kondisi keuangan.
Mereka tak diam. Protes dilakukan. Berserikat dan terus memperjuangkan hak-haknya.
#Buruh #BuruhPerempuan #YaAkuBakalDibaca",pakar ingatkan tidak semua negara asean miliki respons penanganan covid yang baik,positive,0.9139957427978516
Pakar ingatkan tidak semua negara ASEAN miliki respons penanganan Covid-19 yang baik.,supporter of donald trump believes that the former president saved lives with operation warp speed even though he also claims that the covid vaccine will kill everyone who takes itu within years,neutral,0.9944732785224915
A supporter of Donald Trump believes that the former president saved lives with Operation Warp Speed even though he also claims that the Covid-19 vaccine will kill everyone who takes it within 15 years.,masyarakat indonesia ditargetkan menerima vaksin covid di akhir tahun pemerintah menargetkan penduduk indonesia telah menerima vaksin covid di akhir tahun upaya yang telah dilakukan untuk mencapai angka ini strategi vaksinasi dari pintu ke pintu,neutral,0.9978318810462952
"70% Masyarakat Indonesia Ditargetkan Menerima Vaksin Covid-19 di Akhir Tahun 2021
Pemerintah menargetkan 70% penduduk Indonesia telah menerima vaksin Covid-19 di akhir tahun 2021. Upaya yang telah dilakukan untuk mencapai angka ini
• Strategi vaksinasi dari pintu ke pintu.",inilah bentuk tanggung jawab negara melindungi rakyat dari potensi klaster covid ketika naik pesawat katanya,negative,0.9818711280822754
"""Inilah bentuk tanggung jawab negara melindungi rakyat dari potensi klaster COVID-19 ketika naik pesawat,"" katanya. #AyoVaksinPenerbangan",otoritas china menyebutkan mungkin akan terjadi lagi lonjakan kasus covid di negara tersebut maka dari itu china menyuarakan untuk pengurangan mobilitas sebagai langkah menekan infeksi,neutral,0.9971115589141846
"Otoritas China menyebutkan mungkin akan terjadi lagi lonjakan kasus COVID-19 di negara tersebut. Maka dari itu, China menyuarakan untuk pengurangan mobilitas sebagai langkah menekan infeksi.",,positive,0.9911566972732544
"#janganmenyerah #janganpasrah #berjuang #lebihbaik #covıd #covid19 #kasuspositifcovid #IndonesiaSehatIndonesiaHebat
#BersatuLawanCovid19
#NegeriPulihDenganVaksin #indonesiamembangun #indonesiabisa #lawancovid19 #dukungpemerintah #cegahcovid19 #pulihkanindonesia",apresiasi kapolda sumbar,neutral,0.697895884513855
"Apresiasi Kapolda SumBar.
#janganmenyerah #janganpasrah #berjuang #covıd #covid19 #kasuspositifcovid #IndonesiaSehatIndonesiaHebat
#BersatuLawanCovid19
#NegeriPulihDenganVaksin #indonesiamembangun #indonesiabisa #lawancovid19 #dukungpemerintah #cegahcovid19 #pulihkanindonesia",isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya cc,negative,0.6379035711288452
"70% Masyarakat Indonesia Ditargetkan Menerima Vaksin Covid-19 di Akhir Tahun 2021
Pemerintah menargetkan 70% penduduk Indonesia telah menerima vaksin Covid-19 di akhir tahun 2021. Upaya yang telah dilakukan untuk mencapai angka ini
• Strategi vaksinasi dari pintu ke pintu",jelang musim dingin di eropa kasus covid di sejumlah negara di eropa kembali meledak hingga saat ini paling banyak ada di inggris baru ia serbia romania dan bulgaria inggris di kabarkan telah melakukan pembatasan kegiatan warganya dan mewacanakan akan melakukan lockdown,neutral,0.9792252779006958
"HOAX TENTANG VAKSIN COVID-19
HOAX
Vaksin Covid-19 mengandung microchip magnetis
FAKTA
Informasi tersebut tidak benar. Jubir vaksinasi Covid-19 Kemenkes, dr. Siti Nadia Tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya 0,5 cc.",penyakit menular yang lebih bahaya dari covid itu sendiri telah menjalar di berbagai lembaga negara terlihat dari fenomena akhir ini bertubi oknum yang mempertontonkan arogansi ketika bersentuhan amp berkomunikasi dengan rakyat mereka lupa lembaganya ada untuk mengabdi pada bangsa,negative,0.9992210865020752
#AYOVAKSIN #Tarakan #Kaltara #KABIN #PPKM #VaksinasiNasional #PPKMTurunkanCovid19 #Vaksin #Vaksin #IndonesiaSehatIndonesiaHebat #BersatuLawanCovid19 #tangkalcovid #aliansipejuangCovid91 #Sukseskanvaksin #indonesialawancovid19 #lawancovid19 #COVID19 #Indonesia #jokowikeren,mari kita berjuang melawan,negative,0.9996191263198853
"Jelang musim dingin di Eropa, kasus Covid-19 di sejumlah negara di Eropa kembali meledak hingga saat ini.paling banyak ada di Inggris, Russia, Serbia, Romania dan bulgaria.inggris di kabarkan telah melakukan pembatasan kegiatan warganya dan mewacanakan akan melakukan lockdown.",menteri keuangan sri mulyani menyebut indonesia masih perlu waspada covid karena negara negara yang memiliki tingkat vaksinasi tinggi pun mengalami kesulitan menghadapi pandemi,neutral,0.9980227947235107
"@Muslim_AntiPKI2 Penyakit menular yg lebih bahaya dari Covid19 itu sendiri telah menjalar di berbagai lembaga negara. Terlihat dari fenomena akhir2 ini, bertubi2 oknum yg mempertontonkan arogansi ketika bersentuhan &amp; berkomunikasi dg rakyat. Mereka lupa lembaganya ada utk mengabdi pada Bangsa.",total jumlah penerima manfaat program ini adalah orang yang terdiri dari masyarakat umum sekitar lokasi vaksinasi program ini merupakan bukti komitmen nyata lps dalam mendukung percepatan vaksinasi covid yang digalakkan pemerintah indonesia,neutral,0.9599522352218628
"#janganmenyerah #berjuang #lebihbaik mari kita berjuang melawan
#covıd #covid19 #kasuspositifcovid #IndonesiaSehatIndonesiaHebat
#BersatuLawanCovid19
#NegeriPulihDenganVaksin #indonesiamembangun #indonesiabisa #lawancovid19 #dukungpemerintah #cegahcovid19 #pulihkanindonesia",isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya cc dan akan segera menyebar di seluruh jaringan sekitar sumber,negative,0.9118912816047668
Menteri Keuangan Sri Mulyani menyebut Indonesia masih perlu waspada Covid-19 karena negara-negara yang memiliki tingkat vaksinasi tinggi pun mengalami kesulitan menghadapi pandemi.,feature warga negara tiongkok di kuba terima suntikan vaksin covid,neutral,0.9951820969581604
"Total jumlah penerima manfaat program ini adalah 14.829 orang, yang terdiri dari masyarakat umum sekitar lokasi vaksinasi.
Program ini merupakan bukti komitmen nyata LPS dalam mendukung percepatan vaksinasi Covid-19 yang digalakkan pemerintah Indonesia.",simak laporan amnesty international dibungkam dan disesatkan kebebasan berekspresi dalam bahaya selama covid tentang bagaimana ketergantungan sejumlah pemerintahan pada sensor dan hukuman telah mengurangi kualitas informasi pandemi di,negative,0.5382195711135864
"HOAX
Vaksin Covid-19 mengandung microchip magnetis
FAKTA
Informasi tersebut tidak benar. Jubir vaksinasi Covid-19 Kemenkes, dr. Siti Nadia Tarmidzi mengatakan jumlah cairan vaksin yg disuntikkan hanya 0,5 cc dan akn segera menyebar di seluruh jaringan sekitar
Sumber : @CCICPolri",bapak ingatkan skenario terburuk usai pandemi covid ada meninggal,neutral,0.9963021278381348
Feature: Warga negara Tiongkok di Kuba terima suntikan vaksin COVID-19,ahmad faizal berkata buat masa ini kerajaan mengutamakan kepada usaha pemulihan ekonomi negara pasca pandemik covid berbanding mengeluarkan dana untuk kos penganjuran pusingan kelayakan itu,neutral,0.9943713545799255
"Simak laporan Amnesty International, Dibungkam dan Disesatkan: Kebebasan Berekspresi dalam Bahaya Selama Covid-19 tentang bagaimana ketergantungan sejumlah pemerintahan pada sensor dan hukuman telah mengurangi kualitas informasi pandemi di",mas dhito menambahkan saat ini pemerintah berupaya keras untuk memulihkan perekonomian masyarakat di tengah pandemik covid mas dhito bupati kediri,neutral,0.9983325600624084
"BPK Ingatkan Skenario Terburuk Usai Pandemi COVID-19 Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMotivation",kita harus tetap waspada untuk menghindari risiko lonjakan kasus covid kata dalam keterangan tertulis hal ini sudah terjadi di negara negara eropa seperti inggris dan rusia,neutral,0.8871400952339172
"Ahmad Faizal berkata, buat masa ini kerajaan mengutamakan kepada usaha pemulihan ekonomi negara pasca pandemik Covid-19 berbanding mengeluarkan dana untuk kos penganjuran pusingan kelayakan itu.",garis warna coklat pasti menggambarkan laju kasus covid di negara wakanda tulisan nama negaranya sengaja saya blur,negative,0.6805811524391174
"@KediriManeh Mas Dhito menambahkan, saat ini pemerintah berupaya keras untuk memulihkan perekonomian masyarakat di tengah pandemik COVID-19
Mas Dhito
Bupati Kediri",tidak ada presiden yang bersedia menjadi kelinci percobaan vaksin covid untuk rakyatnya kecuali dari sini sudah kelihatan beliau benar bekerja dan memikirkan rakyatnya dan ini tidak akan pernah diapresiasi sama sjw aktipis sa ham kocak,negative,0.9716647267341614
"Kita harus tetap waspada untuk menghindari risiko lonjakan kasus Covid-19,"" kata @PlateJohnny dalam keterangan tertulis. ""Hal ini sudah terjadi di negara-negara Eropa, seperti Inggris dan Rusia.""",mohon izin kritik pak dan test pcr kita tahu sendiri bahwa ditegakkan sebagai pemeriksaan penunjang suspect pneumonia covid bukan dijadikan seperti bisnis seperti ini ekonomi warga tidak semuanya sama,negative,0.9941205382347107
Garis warna coklat pasti menggambarkan laju kasus Covid-19 di negara Wakanda... Tulisan nama negaranya sengaja saya blur.,kasus covid di inggris beberapa hari terakhir menjadi sorotan karena mencapai puncak tertinggi semenjak pertengahan juli,neutral,0.9974192380905151
"Ga ada Presiden yg bersedia menjadi ""Kelinci Percobaan"" vaksin covid-19 utk rakyatnya, kecuali @jokowi Dari sini sudah keliatan, beliau benar2 bekerja dan memikirkan rakyatnya.
Dan ini ga akan pernah diapresiasi sama sjw2,aktipis2 sa-HAM koplak",sobat digital menkominfo johnny plate mengingatkan kendati kasus covid di indonesia terus melandai kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona,neutral,0.9950835704803467
"mohon izin kritik pak @jokowi dan @KemenkesRI test pcr kita tau sendiri bahwa ditegakkan sebagai pemeriksaan penunjang suspect pneumonia covid-19 bukan dijadikan seperti bisnis seperti ini
ekonomi warga tidak semuanya sama.",sistem makanan negara perlu diperkukuh supaya lebih berdaya tahan dan mampan terutama sebagai persediaan menangani krisis global selain pandemik covid yang mungkin berlaku pada masa akan datang pm,positive,0.8937713503837585
"Kasus Covid-19 di Inggris, beberapa hari terakhir menjadi sorotan karena mencapai puncak tertinggi semenjak pertengahan Juli 2021.",isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya cc dan akan segera menyebar di seluruh,negative,0.6443589925765991
"Sobat Digital
Menkominfo Johnny G Plate mengingatkan, kendati kasus Covid-19 di Indonesia terus melandai, kondisi di negara lain masih mengalami fluktuasi dan lonjakan penularan virus corona.
@kemkominfo @kemkominfo",jumlah kes baharu covid turun kepada berbanding lebih semalam secara kumulatif lebih juta kes direkodkan sejak wabak itu melanda negara,negative,0.625550389289856
"Inilah bentuk tanggung jawab negara melindungi rakyat dari potensi klaster COVID-19 ketika naik pesawat,"" katanya. #AyoVaksinPenerbangan",benar benar memang ini pemerintah dalam kinerjanya mencapai jutaan dosis vaksin,negative,0.9743233919143677
"Sistem makanan negara perlu diperkukuh supaya lebih berdaya tahan dan mampan, terutama sebagai persediaan menangani krisis global selain pandemik Covid-19 yang mungkin berlaku pada masa akan datang - PM
#malaysiagazette",menkominfo mengingatkan kendati kasus covid di indonesia terus melandai kondisi di negara lain masih mengalami fluktuasi amp lonjakan penularan virus corona maka dari itu kominfo menghimbau masyarakat tetap waspada,neutral,0.9779993891716003
"HOAX TENTANG VAKSIN COVID-19
HOAX
Vaksin Covid-19 mengandung microchip magnetis
FAKTA
Informasi tersebut tidak benar. Jubir vaksinasi Covid-19 Kemenkes, dr. Siti Nadia Tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya 0,5 cc dan akan segera menyebar di seluruh",kondisi tersebut memaksa pemerintah untuk memberlakukan pembatasan sosial sebagai upaya mengurangi dampak penyebaran covid sehingga menyebabkan turunnya intensitas kegiatan ekonomi yang menyebabkan terjadinya economic seatbacks,neutral,0.8616920113563538
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif.,menkominfo mengingatkan kendati kasus covid di indonesia terus melandai kondisi di negara lain justru mengalami fluktuasi amp lonjakan penularan covid,neutral,0.9738654494285583
