raw,processed,label,score
"Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia.
#SosialisasiEdukasiProkes
Cipta Kamtibmas Kondusif",pemerintah terus melakukan upaya dalam menekan penyebaran covid di indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke indonesia cipta keamanan dan ketertiban masyarakat kondusif,neutral,0.9100237488746643
"Gaduh Menag Era Jokowi: Langgam Jawa, Cadar, &amp; Hadiah NU Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMorning",gaduh menag era jokowi langgam jawa cadar amp hadiah nu ada meninggal,neutral,0.99293452501297
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif,kegiatan polsek dolok masihul terkait operasi kyd kegiatan yang ditingkatkan dalam rangka peningkatan disiplin dan penegakan hukum protokol kesehatan pencegahan penyebaran virus covid,neutral,0.9982010126113892
Kegiatan Polsek Dolok Masihul terkait Operasi KYD (Kegiatan Yang Ditingkatkan) dalam rangka peningkatan disiplin dan penegakan hukum Protokol Kesehatan pencegahan penyebaran Virus Covid-19,mendampingi bupati pemalang mas agung bersama forkopimda serta opd terkait mengikuti rapat koordinasi penanganan covid di provinsi jawa tengah secara virtual di command room diskominfo pemalang senin rapat koordinasi tersebut dipimpin gunernur jawa tengah,neutral,0.9979621171951294
"Mendampingi Bupati Pemalang Mas Agung, bersama Forkopimda serta OPD terkait mengikuti Rapat Koordinasi Penanganan Covid-19 di Provinsi Jawa Tengah secara virtual di Command Room Diskominfo Pemalang, Senin (25/10/2021).
Rakor tersebut dipimpin Gunernur Jawa Tengah @ganjarpranowo",bapak ingatkan skenario terburuk usai pandemi covid ada meninggal,neutral,0.9963021278381348
"BPK Ingatkan Skenario Terburuk Usai Pandemi COVID-19 Ada 4.240.019
143.205 Meninggal
#Rezim_TukangBoong
#PecatYaqut
#7TahunPrestasiKorupsi
#BongkarRekayasaKM50
#justiceforibhrsandkm50
#bongkarkorupsibansos
#batalkanuuciptakerja
#COVID19
#MondayMotivation",my top unli song belum that anyone is asking tertawa apa rin,negative,0.5459621548652649
Pemerintah terus melakukan upaya dalam menekan penyebaran COVID-19 di Indonesia dengan menerapkan terkait kunjungan wisatawan mancanegara ke Indonesia. #SosialisasiEdukasiProkes Cipta Kamtibmas Kondusif.,saya o aqui eu culpo muito imprensa ca clique eu lembro lah reportagem nya poca deh ter ficado revoltado pq pr prio texto falava que alerta era baseado num estudo deh num cen rio que presidente di apa espalha mentira preciso nimo deh responsabilidade,positive,0.847088634967804
"my top 3 unli song (not that anyone is asking haha.. )
1. #EasyOnMe 2. #PermissiontoDance 3. #hanggangditonalang
#MyTop3unlisong #musicislife #covid19shenanigan #covid19 #walapaakongpresidentesahalalan2022 #halalan2022 #MECQ pa rin",kementrian perhubungan ri melalui surat edaran no tahun telah memperbarui aturan tentang ketentuan perjalanan orang dalam negeri pada masa pandemi covid termasuk diantaranya persyaratan perjalanan pada,neutral,0.9985378980636597
E isso aqui eu culpo MUITO a imprensa caça-clique. Eu lembro da reportagem na época e de já ter ficado revoltado pq o próprio texto falava que o alerta era baseado num estudo de 2007. Num cenário que o presidente do país espalha mentira é preciso o mínimo de responsabilidade,bupati kudus hartopo mengikuti konferensi video arahan presiden joko widodo terkait penanganan kasus covid di indonesia di command center diskominfo senin vidcon tersebut dihadiri gubernur dan bupati walikota seluruh daerah di indonesia,neutral,0.9982232451438904
"#Cirebon - Kementrian Perhubungan RI melalui Surat Edaran No: 89 Tahun 2021, telah memperbarui aturan tentang Ketentuan Perjalanan Orang Dalam Negeri pada Masa Pandemi Covid-19, termasuk diantaranya persyaratan perjalanan pada ... #mincoidnews #news #kai #covid19 #kemenhub",sejak pertengahan september hingga sekarang kasus covid di inggris terus bertambah pada jumat oktober dilaporkan sebanyak kasus covid baru di sana,neutral,0.9920299053192139
