raw,processed,label,score
Kegiatan Polsek Dolok Masihul terkait Operasi KYD (Kegiatan Yang Ditingkatkan) dalam rangka peningkatan disiplin dan penegakan hukum Protokol Kesehatan pencegahan penyebaran Virus Covid-19,kegiatan polsek dolok masihul terkait operasi kyd kegiatan yang ditingkatkan dalam rangka peningkatan disiplin dan penegakan hukum protokol kesehatan pencegahan penyebaran virus covid,neutral,0.9982010126113892
@Miko_Ririd Selamat siang dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,selamat siang dan mohon maaf baru terbalaskan hingga saat ini pt kai masih mengacu pada se kementerian perhubungan no tahun dan se gugus tugas covid no tahun penumpang kakak jarak jauh wajib memiliki surat keterangan negatif covid,neutral,0.8011038303375244
@yongbokksun Selamat siang dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,update informasi terkait situasi covid berdasarkan data dari dinas kesehatan kabupaten klaten per minggu penjahat kelamin wib cc thread,neutral,0.9817035794258118
"Update informasi terkait situasi Covid-19 berdasarkan data dari Dinas Kesehatan Kabupaten Klaten, per Minggu (20/12/20) pk.12.00 WIB :
Cc. @ganjarpranowo @humasjateng @YaniSunarno @DinkesKabKlaten @ombudsmanjateng - A Thread -",kerja sama pemerintah dengan perusahaan farmasi asal amerika serikat yaitu merck terkait obat alternatif covid molnupiravir sudah masuk finalisasi,neutral,0.9882718920707703
Kerja sama pemerintah dengan perusahaan farmasi asal Amerika Serikat yaitu Merck terkait obat alternatif Covid-19 Molnupiravir sudah masuk finalisasi.,percobaan pertama yang divaksin itu harusnya presiden dan menkes yang penting untuk kepercayaan rakyat kalo itu aman jadi jangan sampai ada kesan rakyat jadi kelinci percobaan apakah sudah ada fatwa halal dari mui kalo belum tolong jangan diedarin dulu karena kalo haram itu dosa besar,negative,0.9998244643211365
"Percobaan pertama yg divaksin itu hrsnya presiden dan menkes, yg penting utk kepercayaan rakyat kl itu aman ,jd jgn sampe ada kesan rakyat jd kelinci percobaan, apakah sdh ada fatwa halal dr MUI ? kl blm tlg jgn diedarin dulu krn kl haram itu dosa besar (",firli disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid melalui pt rajawali nusantara indonesia rni,neutral,0.9985482096672058
"ْPercobaan pertama yg divaksin itu hrsnya presiden dan menkes, yg penting utk kepercayaan rakyat kl itu aman ,jd jgn sampe ada kesan rakyat jd kelinci percobaan, apakah sdh ada fatwa halal dr MUI ? kl blm tlg jgn diedarin dulu krn kl haram itu dosa besar (",melakukan penyidikan dugaan tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.9985761642456055
Firli disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test Covid-19 melalui PT Rajawali Nusantara Indonesia (RNI) #FitnahSprindik,sebelumnya telah beredar sprindik dengan kop surat kpk perihal dugaan tindak pidana korupsi berupa penerimaan hadiah atau janji kepada pegawai negeri terkait dengan pengadaan alat kesehatan rapid test covid fitnah sprindik,neutral,0.998166561126709
Melakukan penyidikan dugaan tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSprindik,dalam sprindik palsu firli disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid fitnahsprindik,neutral,0.9984834790229797
"Sebelumnya telah beredar sprindik dengan kop surat KPK perihal dugaan tindak pidana korupsi berupa penerimaan hadiah atau janji kepada pegawai negeri terkait dengan pengadaan alat kesehatan rapid test COVID-19 
#FitnahSprindik
Fitnah Sprindik",dalam sprindik palsu yang dilihat ketua kpk disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah janji kepada pegawa negeri penyelenggara negara terkait pengadaan alat kesehatan rapid covid melalui pt rajawali nusantara,neutral,0.9985465407371521
"Dalam sprindik palsu, Firli disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test Covid-19
#FitnahSprindik
FitnahSprindik",berita isu bohong oleh oknum jahat serang erick terkait kasus korupsi perihal penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.992057740688324
"Dlm sprindik palsu yg dilihat,ketua kpk disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah/janji kpd pegawa negeri/penyelenggara negara terkait pengadaan alat kesehatan rapid Covid-19 melalui PT Rajawali Nusantara 
#FitnahSprindik",dengan diadakan penyidikan yang menduga tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.9980880618095398
Berita Hoax oleh oknum jahat serang Erick terkait kasus korupsi perihal penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSpindik,keselamatan rakyat adalah hukum tertinggi maka langkah penegakan hukum terkait pelanggaran protokol kesehatan di masa pandemi covid patut didukung,positive,0.7014948129653931
Dg diadakan penyidikan yg menduga tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSprindik,polsek wanayasa gelar giat operasi yustisi inpres no tahun terkait peningkatan penggunaan masker dan penegakkan protokol kesehatan dalam pencegahan dan pengendalian covid khususnya di wilkum polsek wanayasa,neutral,0.9977401494979858
"Keselamatan rakyat adalah hukum tertinggi, maka langkah penegakan hukum terkait pelanggaran protokol kesehatan di masa pandemi Covid-19 patut didukung.",update informasi terkait situasi covid berdasarkan data dari dinas kesehatan kabupaten klaten per selasa penjahat kelamin wib cc thread,neutral,0.9973121881484985
"Polsek Wanayasa Gelar Giat Operasi Yustisi Inpres no. 6 tahun 2020 terkait Peningkatan Penggunaan Masker dan Penegakkan Protokol Kesehatan dalam pencegahan dan pengendalian Covid-19 khususnya di Wilkum Polsek Wanayasa
#polsekwanayasa
#polrespurwakarta",wah mas poltak isunya harusnya lebih besar saya cukup kecewa melihat tweet dukungan abang terkait beberapa kebijakan pemerintah isunya adalah negara hadir dengan berkemauan memberikan vaksin gratis bagi rakyatnya jika berbayar lantas di mana posisi negara broker,negative,0.9997350573539734
"Update informasi terkait situasi Covid-19 berdasarkan data dari Dinas Kesehatan Kabupaten Klaten, per Selasa (15/12/20) pk.12.00 WIB :
Cc. @ganjarpranowo @humasjateng @YaniSunarno @DinkesKabKlaten @ombudsmanjateng - A Thread -",satgas penanganan covid meminta rumah sakit untuk menghentikan promosi kepada masyarakat terkait layanan pemesanan awal pre order vaksin covid karena hingga saat ini pemerintah belum secara resmi memulai program vaksinasi,neutral,0.9966841340065002
"Wah, bang Poltak, isunya harusnya lebih besar
Saya cukup kecewa ngeliat tweet dukungan abang terkait beberapa kebijakan pemerintah
Isunya adalah Negara hadir dengan berkemauan memberikan vaksin gratis bagi rakyatnya
Jika berbayar, lantas di mana posisi Negara? Broker?",anggota sat sabhara polresta pontianak kota bersama tni dan sat pol pulang pergi melaksanakan patroli di jalan sultan syarif abdurrahman pada cafe lantai berikan himbauan terkait dengan kebijakan pemerintah yang menerapkan protokol kasehatan covid,neutral,0.9985334873199463
"Satgas Penanganan COVID-19 meminta rumah sakit untuk menghentikan promosi kepada masyarakat terkait layanan pemesanan awal (pre-order) vaksin COVID-19, karena hingga saat ini pemerintah belum secara resmi memulai program vaksinasi.",petugas sektor vii pulau kelapa melakukan sosialisasi terkait himbauan cegah covid dan bahaya kebakaran melalui pengeras suara pada lingkungan pulau kelapa kep seribu,neutral,0.9980150461196899
"Anggota Sat Sabhara Polresta Pontianak Kota bersama TNI dan Sat Pol PP melaksanakan patroli di Jl. Sultan Syarif Abdurrahman pada Cafe Lantai 2 berikan himbauan terkait dengan kebijakan pemerintah yang menerapkan protokol kasehatan Covid-19
#PoldaKalbar #polrestapontianakkota",dalam kaitan dengan konteks vaksin covid dari sinovac mui tetap menjadikan hukum islam menjadi standar dalam pengujiannya,neutral,0.9983276724815369
"Petugas #DamkarDKI Sektor VII Pulau Kelapa melakukan sosialisasi terkait himbauan cegah covid19 dan bahaya kebakaran melalui pengeras suara pd lingkungan RT 3/2 Pulau Kelapa, Kep. Seribu (15/12/2020).
@DKIJakarta @aniesbaswedan @BangAriza @dprddkijakarta #jakartatanggapcorona",tolong dicatat admin bagi akun yang nyinyir terkait upaya pemerintah indonesia memerangi pandemi covid fix harus disangsi manusia dibaliknya dengan enggak perlu dikasih vaksin belakangan saja jika terpapar covid diamkan saja,negative,0.8155964016914368
"Dalam kaitan dengan konteks vaksin covid-19 dari Sinovac, MUI tetap menjadikan hukum Islam menjadi standar dalam pengujiannya.",harga ubat dan vaksin covid sebelum ini sentiasa menjadi rahsia komersial sensitif yang dikawal rapi namun maklumat rahsia itu pecah apabila seorang menteri belgium dikatakan secara tidak sengaja mendedahkan harga yang dipersetujui kesatuan eropah,negative,0.9288503527641296
"@CNNIndonesia Tolong dicatat admin @DJPPIKominfo @KemenkesRI @DivHumas_Polri @CCICPolri Bagi akun2 yang nyinyir terkait upaya Pemerintah Indonesia memerangi pandemi Covid19, fix harus disangsi manusia dibaliknya,dengan gak usah dikasih vaksin, belakangan aja, kalo terpapar covid19 diemin aja",amerika serikat telah melaporkan lebih dari kasus baru covid dalam satu hari pada jumat lalu menetapkan rekor dunia baru yang memprihatinkan ketika negara itu sedang mempersiapkan distribusi vaksin covid kedua ke negara bagian,negative,0.5652865171432495
"Harga ubat dan vaksin Covid-19 sebelum ini sentiasa menjadi rahsia komersial sensitif yang dikawal rapi. Namun, maklumat rahsia itu pecah apabila seorang menteri Belgium dikatakan secara tidak sengaja mendedahkan harga yang dipersetujui Kesatuan Eropah…",selamat sore dan mohon maaf baru terbalaskan hingga saat ini pt kai masih mengacu pada se kementerian perhubungan no tahun dan se gugus tugas covid no tahun penumpang kakak jarak jauh wajib memiliki surat keterangan negatif covid,neutral,0.8068577647209167
"Amerika Serikat telah melaporkan lebih dari 400.000 kasus baru COVID-19 dalam satu hari pada Jumat (18/12) lalu, menetapkan rekor dunia baru yang memprihatinkan ketika negara itu sedang mempersiapkan distribusi vaksin COVID-19 kedua ke negara bagian",selamat sore hingga kini pt kai tetap mengacu pada surat edaran kementerian perhubungan nomor tahun amp se gugus tugas covid no tahun bagi penumpang yang akan menggunakan kakak jarak jauh wajib membawa surat keterangan negatif covid berdasarkan,neutral,0.9979339838027954
@finnapusp Selamat siang dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,majelis ulama indonesia mui mendorong pemerintah untuk mendukung riset riset tentang pengembangan vaksin covid yang dilakukan anak anak bangsa seperti vaksin nusantara dan vaksin merah putih,neutral,0.9984365105628967
@eckhart_romanov Selamat sore dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,sejak dikeluarkannya keputusan presiden pada april terkait status covid sebagai bencana nasional pemerintah dan berbagai pihak bidang kesehatan mengupayakan penanggulangan dengan berbagai cara,neutral,0.9977141618728638
@himawariiw @keretaapikita Selamat sore dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,persiapan tersebut dilakukan secara bertahap vaksin merah putih mendapat rekomendasi mukernas mui aspek penanganan pandemi covid kepada pemerintah untuk mendukung segala upaya yang dilakukan oleh anak bangsa untuk dapati vaksin yang tepat untuk semua kategori umur,positive,0.8966431021690369
"@rewnules Selamat sore. Hingga kini PT. KAI tetap mengacu pada Surat Edaran Kementerian Perhubungan Nomor 14 tahun 2020 &amp; SE Gugus Tugas Covid-19 No 9 tahun 2020. Bagi penumpang yg akan menggunakan KA jarak jauh, wajib membawa surat keterangan negatif Covid-19 berdasarkan |1",pemerintah juga terus mendorong pihak pihak terkait dalam pembuatan vaksin ini agar vaksin merah putih bisa lulus uji klinis tahap kesenjangan distribusi vaksin covid antara negara maju dan negara berkembang kian mengkhawatirkan,negative,0.9028697609901428
@Alfernandiooo Selamat sore dan mohon maaf baru terbalaskan. Hingga saat ini PT KAI masih mengacu pada SE Kementerian Perhubungan No. 14 Tahun 2020 dan SE Gugus Tugas Covid-19 no 9 tahun 2020. Penumpang KA Jarak Jauh wajib memiliki surat keterangan negatif Covid-19 |1,kukar polres kutai kartanegara bersama instansi terkait melaksanakan penerapan disiplin dan penegakan hukum protokol kesehatan sebagai upaya pencegahan dan pengendalian covid serta selasa,neutral,0.9983067512512207
