raw,processed,label,score
"Giat Patroli Polsek Majenang untuk mencegah C3 ( Curat, Curas dan Curanmor ) serta antisipasi Tindak Pidana dan Kejahatan lainnya dan woro2 terkait Protokol Kesehatan serta PPKM Darurat Covid19 diJalan Diponegoro, Komplek Alun-Alun, SPBU, Pertokoan, Perbankan.",giat patroli polsek majenang untuk mencegah curat curas dan pencurian kendaraan bermotor serta antisipasi tindak pidana dan kejahatan lainnya dan woro terkait protokol kesehatan serta ppkm darurat covid dijalan diponegoro komplek alun alun spbu pertokoan perbankan,positive,0.9983968138694763
#Asean #AirPollution #iphone13 #trending #WHO #bencana #dkiJakarta #indonesia #usa #Apartemen #iQAir #nafasjkt #IMF #BI #ispa #HALAL #MUI #England #poison #COVID19 #Genosida #G20 #DosaPLTUpln #tourist efek terhirup udara pagi yg tinggi PM 2.5 nya makanya gagal fokus 🤣,efek terhirup udara pagi yang tinggi pm nya makanya gagal fokus,negative,0.999790608882904
"Important Pfizer QC employee, possibly former, reveals fetal cells were used in development of Pfizer COVID19 vaccine. Scroll down page to see video recently released
(I think this platform has blocked anyone from following...please try) @nataliegwinters",important pfizer qc employee po ibly former reveals fetal cells were used ini development of pfizer covid vaccine scroll down page tryout sih video recently released think this platform has blocked anyone dari following tolong try,neutral,0.9953672885894775
"@junimendo007 @musniumar Musni Umar gelar profesor,namun OTAKNYA SDH terkontaminasi dgn virus covid19,maka itu sdh kotor. Yg jdi Presiden sejak Indonesia merdeka adalh Pendatang yg ber agama Kristen. BENAR ² dia sdh BUTA,TULI &amp; STROKE.",musni umar gelar profesor namun otaknya sudah terkontaminasi dengan virus covid maka itu sudah kotor yang jadi presiden sejak indonesia merdeka adalh pendatang yang ber agama kristen benar dia sudah buta tuli amp stroke,negative,0.9998536109924316
"Untuk mengantisipasi ga adanya penularan kasus COVID-19 pada PTM di sekolah, perlu adanya pengawasan yg lebih ketat. Untuk itu, Presiden Jokowi meminta para kepala daerah untuk memeriksa langsung ke lapangan terkait penerapan protokol kesehatan saat PTM.",untuk mengantisipasi tidak adanya penularan kasus covid pada ptm di sekolah perlu adanya pengawasan yang lebih ketat untuk itu presiden jokowi meminta para kepala daerah untuk memeriksa langsung ke lapangan terkait penerapan protokol kesehatan saat ptm,neutral,0.9976426959037781
Everything you need to know about Covid-19 vaccine boosters- what is more important: vaccine equity or the effectiveness of a booster? Wonderful and nuanced analysis in this @the_hindu Op-Ed by Dr. Lance @lancelot_pinto #COVID19 #VaccinesForAll,everything you need tryout know about covid vaccine boosters what is more important vaccine equity atau the effectivene of booster wonderful dan nuanced analysis ini this op edisi by dari lance,neutral,0.9901432991027832
@FreeRoamerUSA @EnrelChi @SumatraSue @AggressiveDem @CTSocialite @RepublicanRehab @wemophil @TruBluRayne @michellmybell1 @texasangler1968 @WHurensohn @SoyBoyRoy1 @BlueKomand @themikewest @RealDoctorT @ShellyRKirchoff @jeffschlueter1 @CleeseRaymond @0ryuge @Q_Estrada @ReganLieutenant @heh78152914 @DaClementMusic @CodeOfPets @manoloh102 @deplorable_s @KimberlyMcKeeve @Erockdouble1 @LaurieSpoon @usorthem3 @ChuckBlakeman @Born2Cuss @wookietim @BluesElmwood @KennyHerbert2K @IanLStrain @815wrldtrvlr @Hirdman @MicheleIsDone @LosSignmakrDeCt @BartRardo @YPOwaves @JaTapps @prettypersista1 @TheClotildaShip @hwestonbull_hhh @dfbeck44 @Brendamalanga @Samson37123571 @PaulConfer More people should trust the kind of Fake News sources that my movements read.,more people should trust the kind of fake news sources that my movements read,neutral,0.9945214986801147
Kegiatan Polsek Dolok Masihul terkait Operasi KYD (Kegiatan Yang Ditingkatkan) dalam rangka peningkatan disiplin dan penegakan hukum Protokol Kesehatan pencegahan penyebaran Virus Covid-19,kegiatan polsek dolok masihul terkait operasi kyd kegiatan yang ditingkatkan dalam rangka peningkatan disiplin dan penegakan hukum protokol kesehatan pencegahan penyebaran virus covid,neutral,0.9982010126113892
"#live Dialog Kesehatan bersama dr. Ade Arsianti, Departemen Kimia terkait deteksi boraks dan formalin dengan bahan herbal untuk mendukung keamanan pangan di masa Pandemi.
Selengkapnya di 88,8FM PRO 3 RRI. -AMD
#COVID19",dialog kesehatan bersama dari adek arsianti departemen kimia terkait deteksi boraks dan formalin dengan bahan herbal untuk mendukung keamanan pangan di masa pandemi selengkapnya di fm profesional rri amd,neutral,0.9823718667030334
"Vaksin Covid-19 ayoooh ... segera datang dan ramaikan Vaksin aman sehat dan halal
#VaksinCitos
#VaksinTNI
#SerbuanVaksin
#SerbuanVaksinTNI",vaksin covid ayoh segera datang dan ramaikan vaksin aman sehat dan halal,positive,0.9823477268218994
Kesadaran warga kita jauh dibawah RRC terkait dengan vaksin Covid19.. alon2 asal kelakon cocok buat kita 😂😂😂,kesadaran warga kita jauh dibawah rrc terkait dengan vaksin covid alon asal kelakon cocok buat kita,negative,0.5309621691703796
"La Municipalidad realizará 12.000 tests de Covid-19 a sanlorencinos que participen de viajes estudiantiles
Los PCR se practican 72 horas antes de la partida de los contingentes y, tras la vuelta, al quinto día del aislamiento obligatorio. Es para alumnos, padres y docentes.",lah municipalidad realizar tests deh covid sanlorencinos que participen deh viajes estudiantiles los pcr se practican horas antes deh lah partida deh los contingentes tras lah vuelta al quinto del aislamiento obligatorio es para alumnos padres docentes,positive,0.6600314974784851
"Giat Patroli Polsek Majenang untuk mencegah C3 ( Curat, Curas dan Curanmor ) serta antisipasi Tindak Pidana dan Kejahatan lainnya dan woro2 terkait Protokol Kesehatan serta PPKM Darurat Covid19 diJalan Diponegoro, Perbankan, Pertokoan, Alun-Alun dan SPBU Kec.Majenang",giat patroli polsek majenang untuk mencegah curat curas dan pencurian kendaraan bermotor serta antisipasi tindak pidana dan kejahatan lainnya dan woro terkait protokol kesehatan serta ppkm darurat covid dijalan diponegoro perbankan pertokoan alun alun dan spbu kecamatan majenang,positive,0.9989180564880371
"Ratusan pelajar SMP Negeri 1 Pangkatan, Kabupaten Labuhanbatubatu, Sumatera Utara, disuntik vaksin COVID-19 dosis pertama",ratusan pelajar sampai negeri pangkatan kabupaten labuhanbatubatu sumatera utara disuntik vaksin covid dosis pertama,neutral,0.997995138168335
"Dr. Shalala Ahmadova, MD, MPH, Incident Manager for COVID-19 @WHOIndonesia, membuka diskusi siang ini dengan menyatakan masalah yang dihadapi pelayanan kesehatan selama pandemi.",dari shalala ahmadova md mph incident manager untuk covid membuka diskusi siang ini dengan menyatakan masalah yang dihadapi pelayanan kesehatan selama pandemi,neutral,0.9968357682228088
"Menkes Budi Gunadi Sadikin memberikan update terkait obat Covid-19 asal Amerika Serikat, Molnupiravir, yang kini tengah masuk tahap finalisasi. Molnupiravir akan masuk ke Tanah Air pada akhir tahun ini.",menkes budi gunadi sadikin memberikan update terkait obat covid asal amerika serikat molnupiravir yang kini tengah masuk tahap finalisasi molnupiravir akan masuk ke tanah air pada akhir tahun ini,neutral,0.9981607794761658
